invoice_id,customer_id,issue_date,due_date,amount,terms,status
INV-2001,C-01,2025-03-13,2025-04-27,10265.85,Net 45,paid
INV-2002,C-01,2025-03-20,2025-05-04,19719.2,Net 45,paid
INV-2003,C-01,2025-04-19,2025-06-03,21431.8,Net 45,paid
INV-2004,C-01,2025-04-03,2025-05-18,10385.68,Net 45,paid
INV-2005,C-01,2025-05-16,2025-06-30,21456.9,Net 45,paid
INV-2006,C-01,2025-05-02,2025-06-16,23125.32,Net 45,paid
INV-2007,C-01,2025-06-19,2025-08-03,21295.95,Net 45,paid
INV-2008,C-01,2025-06-05,2025-07-20,12922.34,Net 45,paid
INV-2009,C-01,2025-07-12,2025-08-26,21366.82,Net 45,paid
INV-2010,C-01,2025-07-07,2025-08-21,19574.73,Net 45,paid
INV-2011,C-01,2025-08-17,2025-10-01,17479.13,Net 45,paid
INV-2012,C-01,2025-08-26,2025-10-10,17118.85,Net 45,paid
INV-2013,C-01,2025-09-25,2025-11-09,19086.01,Net 45,paid
INV-2014,C-01,2025-09-23,2025-11-07,20130.87,Net 45,paid
INV-2015,C-01,2025-10-24,2025-12-08,18180.82,Net 45,paid
INV-2016,C-01,2025-10-11,2025-11-25,25294.5,Net 45,paid
INV-2017,C-01,2025-11-16,2025-12-31,17232.72,Net 45,paid
INV-2018,C-01,2025-11-09,2025-12-24,14212.88,Net 45,paid
INV-2019,C-01,2025-12-18,2026-02-01,17268.75,Net 45,paid
INV-2020,C-01,2025-12-10,2026-01-24,18182.37,Net 45,paid
INV-2021,C-01,2026-01-10,2026-02-24,21130.98,Net 45,paid
INV-2022,C-01,2026-01-21,2026-03-07,17846.34,Net 45,paid
INV-2023,C-01,2026-02-03,2026-03-20,9989.47,Net 45,paid
INV-2024,C-01,2026-02-27,2026-04-13,14477.63,Net 45,paid
INV-2025,C-01,2026-03-07,2026-04-21,20512.7,Net 45,paid
INV-2026,C-01,2026-03-07,2026-04-21,15850.81,Net 45,paid
INV-2027,C-01,2026-04-01,2026-05-16,13384.52,Net 45,paid
INV-2028,C-01,2026-04-03,2026-05-18,20149.78,Net 45,paid
INV-2029,C-01,2026-05-09,2026-06-23,13148.7,Net 45,paid
INV-2030,C-01,2026-05-25,2026-07-09,21352.59,Net 45,paid
INV-2031,C-01,2026-06-18,2026-08-02,19076.44,Net 45,paid
INV-2032,C-01,2026-06-06,2026-07-21,15467.16,Net 45,paid
INV-2033,C-01,2026-07-18,2026-09-01,18548.72,Net 45,open
INV-2034,C-01,2026-07-27,2026-09-10,25319.36,Net 45,open
INV-2035,C-01,2026-08-14,2026-09-28,10790.74,Net 45,open
INV-2036,C-01,2026-08-19,2026-10-03,24842.03,Net 45,open
INV-2037,C-02,2025-03-17,2025-04-16,11635.08,Net 30,paid
INV-2038,C-02,2025-03-26,2025-04-25,9752.28,Net 30,paid
INV-2039,C-02,2025-03-06,2025-04-05,11188.31,Net 30,paid
INV-2040,C-02,2025-04-01,2025-05-01,13771.56,Net 30,paid
INV-2041,C-02,2025-04-20,2025-05-20,9996.26,Net 30,paid
INV-2042,C-02,2025-04-26,2025-05-26,8297.67,Net 30,paid
INV-2043,C-02,2025-05-02,2025-06-01,7922.12,Net 30,paid
INV-2044,C-02,2025-05-12,2025-06-11,10401.7,Net 30,paid
INV-2045,C-02,2025-05-26,2025-06-25,5392.58,Net 30,paid
INV-2046,C-02,2025-06-01,2025-07-01,6363.09,Net 30,paid
INV-2047,C-02,2025-06-17,2025-07-17,7909.42,Net 30,paid
INV-2048,C-02,2025-06-19,2025-07-19,6488.29,Net 30,paid
INV-2049,C-02,2025-07-08,2025-08-07,9668.66,Net 30,paid
INV-2050,C-02,2025-07-19,2025-08-18,10456.52,Net 30,paid
INV-2051,C-02,2025-07-21,2025-08-20,11094.38,Net 30,paid
INV-2052,C-02,2025-08-08,2025-09-07,10240.26,Net 30,paid
INV-2053,C-02,2025-08-04,2025-09-03,10589.54,Net 30,paid
INV-2054,C-02,2025-08-16,2025-09-15,8474.04,Net 30,paid
INV-2055,C-02,2025-09-26,2025-10-26,10693.5,Net 30,paid
INV-2056,C-02,2025-09-07,2025-10-07,9273.6,Net 30,paid
INV-2057,C-02,2025-09-08,2025-10-08,7232.24,Net 30,paid
INV-2058,C-02,2025-10-11,2025-11-10,7462.5,Net 30,paid
INV-2059,C-02,2025-10-23,2025-11-22,13816.7,Net 30,paid
INV-2060,C-02,2025-10-25,2025-11-24,8046.28,Net 30,paid
INV-2061,C-02,2025-11-15,2025-12-15,10208.15,Net 30,paid
INV-2062,C-02,2025-11-26,2025-12-26,8462.88,Net 30,paid
INV-2063,C-02,2025-11-26,2025-12-26,9403.97,Net 30,paid
INV-2064,C-02,2025-12-25,2026-01-24,7905.16,Net 30,paid
INV-2065,C-02,2025-12-23,2026-01-22,11506.1,Net 30,paid
INV-2066,C-02,2025-12-22,2026-01-21,9329.88,Net 30,paid
INV-2067,C-02,2026-01-09,2026-02-08,11889.26,Net 30,paid
INV-2068,C-02,2026-01-02,2026-02-01,8257.88,Net 30,paid
INV-2069,C-02,2026-01-04,2026-02-03,10248.79,Net 30,paid
INV-2070,C-02,2026-02-26,2026-03-28,8659.09,Net 30,paid
INV-2071,C-02,2026-02-06,2026-03-08,10319.68,Net 30,paid
INV-2072,C-02,2026-02-18,2026-03-20,7367.32,Net 30,paid
INV-2073,C-02,2026-03-11,2026-04-10,8859.68,Net 30,paid
INV-2074,C-02,2026-03-13,2026-04-12,7551.38,Net 30,paid
INV-2075,C-02,2026-03-21,2026-04-20,11724.82,Net 30,paid
INV-2076,C-02,2026-04-13,2026-05-13,6477.99,Net 30,paid
INV-2077,C-02,2026-04-18,2026-05-18,10350.79,Net 30,paid
INV-2078,C-02,2026-04-22,2026-05-22,8024.29,Net 30,paid
INV-2079,C-02,2026-05-18,2026-06-17,7684.55,Net 30,paid
INV-2080,C-02,2026-05-06,2026-06-05,5954.35,Net 30,paid
INV-2081,C-02,2026-05-08,2026-06-07,7220.16,Net 30,paid
INV-2082,C-02,2026-06-22,2026-07-22,14060.35,Net 30,paid
INV-2083,C-02,2026-06-22,2026-07-22,8024.0,Net 30,paid
INV-2084,C-02,2026-06-27,2026-07-27,9801.29,Net 30,paid
INV-2085,C-02,2026-07-13,2026-08-12,10664.57,Net 30,open
INV-2086,C-02,2026-07-15,2026-08-14,8797.11,Net 30,open
INV-2087,C-02,2026-07-02,2026-08-01,9952.53,Net 30,open
INV-2088,C-02,2026-08-24,2026-09-23,8810.58,Net 30,open
INV-2089,C-02,2026-08-03,2026-09-02,9977.71,Net 30,open
INV-2090,C-02,2026-08-01,2026-08-31,7159.84,Net 30,open
INV-2091,C-03,2025-03-13,2025-04-27,31314.34,Net 45,paid
INV-2092,C-03,2025-03-16,2025-04-30,35509.97,Net 45,paid
INV-2093,C-03,2025-04-21,2025-06-05,18269.56,Net 45,paid
INV-2094,C-03,2025-04-20,2025-06-04,32607.32,Net 45,paid
INV-2095,C-03,2025-05-18,2025-07-02,39364.78,Net 45,paid
INV-2096,C-03,2025-05-10,2025-06-24,39037.51,Net 45,paid
INV-2097,C-03,2025-06-12,2025-07-27,28813.8,Net 45,paid
INV-2098,C-03,2025-06-15,2025-07-30,35057.75,Net 45,paid
INV-2099,C-03,2025-07-04,2025-08-18,31109.64,Net 45,paid
INV-2100,C-03,2025-07-18,2025-09-01,42907.9,Net 45,paid
INV-2101,C-03,2025-08-25,2025-10-09,46366.61,Net 45,paid
