invoice_id,payment_date,amount,method
INV-2001,2025-04-27,10265.85,ACH
INV-2002,2025-05-03,19719.2,ACH
INV-2003,2025-06-03,21431.8,check
INV-2004,2025-05-17,10385.68,check
INV-2005,2025-06-30,21456.9,ACH
INV-2006,2025-06-14,23125.32,ACH
INV-2007,2025-08-01,21295.95,check
INV-2008,2025-07-18,12922.34,wire
INV-2009,2025-08-25,21366.82,check
INV-2010,2025-08-20,19574.73,check
INV-2011,2025-09-29,17479.13,wire
INV-2012,2025-10-10,17118.85,check
INV-2013,2025-11-07,19086.01,ACH
INV-2014,2025-11-07,20130.87,ACH
INV-2015,2025-12-08,18180.82,wire
INV-2016,2025-11-25,25294.5,wire
INV-2017,2025-12-30,17232.72,wire
INV-2018,2025-12-22,14212.88,ACH
INV-2019,2026-01-31,17268.75,wire
INV-2020,2026-01-24,18182.37,check
INV-2021,2026-02-22,21130.98,ACH
INV-2022,2026-03-06,17846.34,wire
INV-2023,2026-03-18,9989.47,ACH
INV-2024,2026-04-12,14477.63,wire
INV-2025,2026-04-19,20512.7,wire
INV-2026,2026-04-19,15850.81,wire
INV-2027,2026-05-15,13384.52,check
INV-2028,2026-05-18,20149.78,wire
INV-2029,2026-06-21,13148.7,check
INV-2030,2026-07-09,21352.59,wire
INV-2031,2026-08-01,19076.44,check
INV-2032,2026-07-21,15467.16,ACH
INV-2037,2025-05-07,11635.08,check
INV-2038,2025-05-25,9752.28,ACH
INV-2039,2025-04-25,11188.31,check
INV-2040,2025-05-29,13771.56,check
INV-2041,2025-06-20,9996.26,ACH
INV-2042,2025-06-16,8297.67,check
INV-2043,2025-06-28,7922.12,wire
INV-2044,2025-07-11,10401.7,ACH
INV-2045,2025-07-23,5392.58,wire
INV-2046,2025-07-29,6363.09,wire
INV-2047,2025-08-11,7909.42,check
INV-2048,2025-08-07,6488.29,check
INV-2049,2025-08-31,9668.66,ACH
INV-2050,2025-09-08,10456.52,ACH
INV-2051,2025-09-16,11094.38,wire
INV-2052,2025-10-04,10240.26,check
INV-2053,2025-09-28,10589.54,check
INV-2054,2025-10-06,8474.04,wire
INV-2055,2025-11-15,10693.5,check
INV-2056,2025-10-27,9273.6,wire
INV-2057,2025-10-27,7232.24,check
INV-2058,2025-12-08,7462.5,check
INV-2059,2025-12-24,13816.7,ACH
INV-2060,2025-12-20,8046.28,ACH
INV-2061,2026-01-06,10208.15,ACH
INV-2062,2026-01-23,8462.88,ACH
INV-2063,2026-01-14,9403.97,check
INV-2064,2026-02-20,7905.16,wire
INV-2065,2026-02-22,11506.1,ACH
INV-2066,2026-02-12,9329.88,wire
INV-2067,2026-03-08,11889.26,wire
INV-2068,2026-03-02,8257.88,wire
INV-2069,2026-02-23,10248.79,wire
INV-2070,2026-04-16,8659.09,check
INV-2071,2026-04-03,10319.68,wire
INV-2072,2026-04-19,7367.32,check
INV-2073,2026-05-09,8859.68,ACH
INV-2074,2026-05-05,7551.38,ACH
INV-2075,2026-05-15,11724.82,ACH
INV-2076,2026-06-12,6477.99,wire
INV-2077,2026-06-17,10350.79,check
INV-2078,2026-06-11,8024.29,wire
INV-2079,2026-07-07,7684.55,ACH
INV-2080,2026-07-01,5954.35,ACH
INV-2081,2026-06-28,7220.16,check
